        Position: X-component / [m]                x_Vx/
           -0.0038460918                         3240003
           -0.0038298222                      -7011816.9
           -0.0038297267                      -6235352.7
           -0.0038278138                         3847932
           -0.0038268629                      -7563950.7
           -0.0038211257                      -4935778.3
            -0.003820935                      -7645509.1
            -0.003815287                        -7109406
           -0.0038107422                      -3169275.5
           -0.0037989259                       1411665.9
           -0.0037987009                       4782303.4
           -0.0037894716                       520439.11
           -0.0037886047                      -3497203.1
           -0.0037872691                       1216705.9
           -0.0037858757                       173102.39
           -0.0037844207                      -7658475.4
           -0.0037842565                      -7381526.6
           -0.0037794763                      -7333563.3
             -0.00377406                       2244742.1
           -0.0037738941                      -569479.65
           -0.0037730687                         4698395
              -0.0037678                       2606152.2
           -0.0037670463                      -909865.58
           -0.0037637913                       4362888.3
            -0.003762409                      -5531798.7
           -0.0037609081                      -6770777.6
           -0.0037503053                       3318828.8
            -0.003744596                      -1583225.3
            -0.003744349                      -4108106.1
           -0.0037437486                      -7396423.9
           -0.0037405445                      -7972113.6
           -0.0037362643                      -5823203.4
           -0.0037348857                      -7027241.9
           -0.0037308954                      -1922041.6
           -0.0037269511                       3859475.4
           -0.0037195354                      -4422653.2
           -0.0036998808                      -7787186.5
           -0.0036980209                      -8013310.6
           -0.0036970242                       5202193.3
           -0.0036936484                      -2578161.9
           -0.0036888135                        -8168829
           -0.0036824191                      -7793062.7
           -0.0036795679                      -2928480.2
           -0.0036775529                      -6353189.1
           -0.0036738922                       4472842.7
            -0.003671236                      -5045724.6
           -0.0036675657                       1111227.9
           -0.0036594569                       728699.01
           -0.0036589412                      -8135902.3
           -0.0036569519                       2204946.9
           -0.0036563386                        -6675598
            -0.003654401                      -7747845.8
           -0.0036530218                      -7991384.6
           -0.0036512441                       1858510.6
           -0.0036494708                      -5370454.5
           -0.0036493242                       56689.145
           -0.0036493105                       2853126.5
            -0.003648908                      -333880.36
            -0.003641078                      -7551028.2
           -0.0036380393                       5438213.3
           -0.0036362672                      -3562326.5
            -0.003634408                         3237740
           -0.0036243793                      -967906.09
           -0.0036177314                       5325692.6
           -0.0036169921                       3991473.3
           -0.0036129915                       4966681.1
           -0.0036118451                      -3873690.3
           -0.0036078662                      -1310509.8
           -0.0035990843                      -5972616.4
           -0.0035954906                      -7764173.9
           -0.0035954552                      -7174810.5
           -0.0035821446                       4452307.9
           -0.0035738307                      -1967319.5
            -0.003567546                      -6259119.2
           -0.0035669692                      -8445436.9
           -0.0035655469                      -4509249.1
           -0.0035631128                      -8438570.4
           -0.0035604003                      -8149398.8
           -0.0035555386                      -7408772.9
           -0.0035531007                      -2333665.6
           -0.0035452192                      -4845961.8
           -0.0035394037                      -8058463.7
           -0.0035307632                       5860370.9
           -0.0035297573                        -8611023
           -0.0035292044                       5033726.3
           -0.0035256368                       1739706.8
           -0.0035227271                       1385847.2
            -0.003521996                      -8202866.4
            -0.003520752                      -2922080.1
           -0.0035153454                         2866522
           -0.0035104405                       3507454.3
           -0.0035103422                       685052.74
           -0.0035070416                       384431.45
           -0.0035063974                       2522958.8
           -0.0035025673                      -8542268.8
           -0.0035007356                      -6794424.6
           -0.0035004146                      -3251000.5
           -0.0034937181                       3869807.7
           -0.0034932815                       5801232.9
           -0.0034916563                      -5430933.6
           -0.0034881911                         -307447
           -0.0034810059                      -7894145.9
           -0.0034732236                      -8395576.3
           -0.0034714714                      -646225.21
           -0.0034649605                         4607897
           -0.0034627773                       5532052.2
           -0.0034623442                      -3916028.1
           -0.0034622276                      -5742919.7
            -0.003461592                        -7023827
           -0.0034535854                      -8422928.8
           -0.0034405042                      -8140779.4
            -0.003439629                      -4231793.5
            -0.003439472                      -8240986.5
           -0.0034393104                      -1257362.8
           -0.0034298803                       5044618.5
           -0.0034255971                      -1609388.6
           -0.0034236617                      -8853664.2
           -0.0034162503                       6278777.8
            -0.003398595                      -6302453.9
           -0.0033904386                        -7521666
           -0.0033869898                      -4852031.4
           -0.0033844679                      -2251663.7
           -0.0033824003                      -8836945.8
           -0.0033801029                       2413798.8
           -0.0033796479                       2057144.7
           -0.0033757639                      -8430402.4
           -0.0033707073                      -8846058.6
           -0.0033661947                      -2589283.5
           -0.0033659288                       3553103.9
           -0.0033657891                       3184388.6
           -0.0033657478                      -6596601.3
            -0.003365533                      -7790274.2
           -0.0033616412                       1050889.2
           -0.0033607094                       1397858.2
           -0.0033575771                       5661926.5
           -0.0033571583                       4174894.5
            -0.003356214                      -5143725.4
           -0.0033482738                       6494245.7
           -0.0033473679                       329847.23
           -0.0033439697                       4512590.5
           -0.0033349314                      -9005642.5
           -0.0033311722                       424.33816
           -0.0033288645                      -3270678.6
           -0.0033247998                      -9007283.7
           -0.0033135912                      -8537565.1
           -0.0033111253                       6402266.1
           -0.0033072232                      -3610085.2
           -0.0033017852                      -7115231.5
           -0.0032982216                      -8732384.6
            -0.003294207                      -556301.33
           -0.0032929852                      -5734216.3
           -0.0032871514                      -8257635.1
           -0.0032856122                       5323100.3
            -0.003284765                      -9012787.4
           -0.0032844255                         6168253
           -0.0032799247                      -908784.03
           -0.0032796256                      -8743791.3
           -0.0032643928                      -7355064.1
           -0.0032608123                      -4243802.7
           -0.0032587658                      -6011543.4
            -0.003254715                      -8737990.3
            -0.003247975                      -1604695.5
            -0.003246483                       5742014.1
           -0.0032448219                      -8489574.4
           -0.0032341338                       2723028.4
           -0.0032334075                      -1950207.1
           -0.0032283139                       3108500.1
           -0.0032275186                      -4560460.5
           -0.0032267152                      -9287717.9
           -0.0032222146                       6829147.3
           -0.0032154527                       3864807.8
           -0.0032152925                       2085841.3
           -0.0032144924                       4198401.3
           -0.0032105004                       1745554.2
           -0.0032037915                        -9212913
           -0.0032003698                       4806636.9
           -0.0031969831                       6203343.9
           -0.0031961019                       1032345.8
           -0.0031899643                      -2608760.4
            -0.003189035                      -7863513.1
           -0.0031787675                      -6607206.9
           -0.0031774448                       5164096.8
           -0.0031759989                      -5171301.2
           -0.0031708999                      -2950340.2
           -0.0031685636                       6802966.1
           -0.0031684387                       843654.06
           -0.0031651268                      -9285978.4
           -0.0031599986                      -9450927.3
           -0.0031569023                      -6870605.6
           -0.0031564441                      -9073866.7
           -0.0031485123                       140894.18
           -0.0031461292                      -8086313.7
           -0.0031441037                      -9339655.6
           -0.0031440985                      -5464636.9
            -0.003135828                      -213414.13
           -0.0031268367                      -9023642.2
           -0.0031263241                      -3611823.7
           -0.0031248538                       6649437.1
            -0.003122704                      -8883610.8
           -0.0031187443                       5926827.1
           -0.0031107566                      -9367667.2
           -0.0031031207                      -3945978.1
           -0.0031024788                      -905386.11
           -0.0030977126                         7202101
           -0.0030883831                      -7410739.1
           -0.0030874855                      -1257487.8
           -0.0030870476                       4679440.4
           -0.0030848466                      -8585582.7
           -0.0030826867                      -6058837.7
           -0.0030803584                         6294216
            -0.003078851                      -9066531.9
           -0.0030737423                       3786838.4
           -0.0030701265                       3471604.2
           -0.0030633765                       2803284.7
           -0.0030607678                       2437350.7
            -0.003052716                      -6318646.7
           -0.0030522846                      -1947544.2
           -0.0030512604                       4548240.6
           -0.0030472538                      -4587159.5
           -0.0030458295                      -9177498.1
           -0.0030443233                      -7651904.8
           -0.0030430269                      -8791441.6
           -0.0030397374                      -9705414.2
           -0.0030315924                      -2329907.1
           -0.0030266883                       1879242.4
           -0.0030252644                       5475551.9
           -0.0030235543                       7394370.4
           -0.0030218148                         1515247
           -0.0030191621                      -4878593.6
           -0.0030057988                       6884796.1
           -0.0030032776                       5809442.4
           -0.0030004649                      -9511015.3
           -0.0029992361                       846125.94
           -0.0029950603                      -6888955.3
           -0.0029847336                        -2975422
           -0.0029822336                      -9601176.8
           -0.0029802215                       514616.35
           -0.0029796225                       7416984.4
           -0.0029764287                      -9809965.1
           -0.0029728449                      -8142435.3
           -0.0029690893                       7157175.8
            -0.002965369                      -5498227.4
           -0.0029618139                        -3302159
            -0.002956947                      -7166371.7
            -0.002956458                      -9449636.1
           -0.0029503639                      -181918.25
           -0.0029492018                      -9171933.3
           -0.0029456372                        -9690481
           -0.0029435599                      -608169.41
           -0.0029409756                      -5818911.2
           -0.0029363482                      -8392442.1
            -0.002935163                      -9719777.8
           -0.0029316122                       6718790.8
           -0.0029293147                       6584455.1
           -0.0029180229                       5356706.9
           -0.0029137892                       4145492.6
           -0.0029133639                      -9458638.2
           -0.0029109567                       7691998.2
           -0.0029098599                      -3964567.3
           -0.0029059991                      -1279737.7
           -0.0029045989                       3498991.5
           -0.0029019249                       4556096.7
           -0.0028939169                       3190686.1
           -0.0028920871                       5235496.5
           -0.0028868726                      -1628947.8
           -0.0028818801                      -4277851.6
           -0.0028749314                      -6350438.1
           -0.0028722131                       7400340.8
           -0.0028673341                      -9394031.5
           -0.0028671552                      -7700834.7
           -0.0028585805                       2248244.2
           -0.0028570025                       2635964.8
           -0.0028513903                      -8833772.1
           -0.0028507542                       6125752.3
           -0.0028500946                       7747500.3
           -0.0028420432                      -2306358.6
           -0.0028394252                         1594346
            -0.002838375                      -9586288.1
           -0.0028370254                      -6616895.8
           -0.0028324546                      -7940318.8
           -0.0028314618                       -10001888
            -0.002827806                       1228856.8
           -0.0028250238                      -4877895.8
            -0.002821338                       6449868.8
           -0.0028208361                      -2623049.2
           -0.0028189208                      -9051812.6
           -0.0028012768                       488250.19
           -0.0027948233                      -5185980.3
           -0.0027921672                      -9922831.3
           -0.0027873641                       -10127826
            -0.002785431                       137785.87
           -0.0027833014                      -9779316.4
           -0.0027767429                       7997691.4
           -0.0027763127                       7519122.8
           -0.0027645089                      -7187644.1
           -0.0027615142                      -3245821.3
           -0.0027552934                      -8429296.9
           -0.0027508048                      -535791.29
           -0.0027491564                       5731558.9
           -0.0027473165                         4833396
           -0.0027472636                      -9795729.7
           -0.0027437497                      -5798451.6
           -0.0027407187                         4202200
           -0.0027361586                      -913828.06
           -0.0027359114                      -9474733.9
           -0.0027357516                      -3567191.2
           -0.0027334986                      -7446920.4
            -0.002733181                       3887406.8
           -0.0027323797                       7305267.4
           -0.0027303938                      -9958413.9
           -0.0027277855                       7231655.2
           -0.0027249208                       5286841.4
           -0.0027236447                       -10004026
           -0.0027166104                      -6085569.2
           -0.0027133252                         6138724
           -0.0027108464                      -8671076.1
           -0.0027059471                         3315098
           -0.0026940698                       2990598.7
           -0.0026933523                      -9689896.2
           -0.0026872349                       8133649.9
           -0.0026865557                      -1555227.4
           -0.0026812814                       7892323.5
           -0.0026804012                        -9789656
           -0.0026781053                      -4201857.5
           -0.0026755015                       2317802.4
           -0.0026678002                         6762341
           -0.0026658086                       1971049.6
           -0.0026609339                      -1869668.8
           -0.0026548971                      -4518791.5
            -0.002646278                      -6636479.9
            -0.002641539                       1230917.7
           -0.0026390058                      -7956725.5
           -0.0026359595                      -9093357.5
           -0.0026288116                         8309992
           -0.0026287465                       -10262478
           -0.0026241721                       876880.27
           -0.0026192028                       7203595.5
           -0.0026129168                      -2519476.2
           -0.0026118355                      -6917008.6
           -0.0026070287                      -9313080.6
           -0.0026030414                      -5142463.1
           -0.0026007641                         7586409
           -0.0025935871                       -10220991
           -0.0025930514                      -8189544.9
            -0.002590373                       217197.94
            -0.002587576                       -10420569
           -0.0025859171                      -2846483.6
           -0.0025770448                       -10054340
           -0.0025715506                       7990337.6
           -0.0025704927                      -5436334.3
           -0.0025700312                       -10038495
           -0.0025698474                      -115638.74
           -0.0025691419                       6380094.7
           -0.0025680003                       3887685.6
           -0.0025624499                       4961154.5
            -0.002556128                       4633070.1
           -0.0025537027                       5661524.9
           -0.0025513491                      -7483014.1
           -0.0025481725                       5967680.1
           -0.0025448828                       8465067.2
           -0.0025390341                       -10298208
           -0.0025378356                      -8716996.7
           -0.0025323124                         6781814
           -0.0025290446                       3717746.4
           -0.0025285514                       -10001604
           -0.0025264806                       -10209809
           -0.0025262596                      -3461371.5
           -0.0025234128                      -779836.96
           -0.0025228877                        -9752336
           -0.0025141365                      -7729952.7
           -0.0025077184                       3059395.7
           -0.0025034523                      -6046150.8
           -0.0025004189                      -3781457.2
           -0.0024998574                      -1102923.6
           -0.0024980144                      -8928261.7
           -0.0024927649                       8217234.2
           -0.0024926397                       2750162.4
            -0.002485811                      -9975289.1
           -0.0024809914                       7392145.1
           -0.0024791927                       1989816.8
           -0.0024785142                       8504084.1
           -0.0024712727                      -6337515.1
           -0.0024638183                       1642042.1
           -0.0024473022                      -4411513.4
           -0.0024452536                      -8245376.8
           -0.0024414757                       -10124191
           -0.0024358119                       7816958.3
           -0.0024296987                      -1671870.2
           -0.0024254887                       969262.63
           -0.0024207492                       -10512406
           -0.0024175303                      -4727771.8
           -0.0024153069                      -2022623.1
           -0.0024142425                      -9345227.5
            -0.002405687                      -6880438.1
           -0.0024046731                       651550.38
           -0.0023982575                       -10500944
           -0.0023980533                       8722852.1
           -0.0023910311                       5658719.4
           -0.0023895405                       5347568.4
           -0.0023858669                       4695010.7
           -0.0023813924                      -7172994.1
           -0.0023785707                       -10670907
           -0.0023785178                       6320988.5
           -0.0023767542                         8375605
            -0.002375324                      -8466543.2
           -0.0023730433                         6635023
           -0.0023700658                      -9551868.3
           -0.0023689505                        -2688839
           -0.0023661679                       7145313.1
           -0.0023628558                       -10288041
           -0.0023578935                       10481.186
           -0.0023574381                       4466321.5
           -0.0023545778                       7426014.8
           -0.0023519889                      -5331362.8
           -0.0023460928                        -3016988
           -0.0023436641                       -10341127
           -0.0023355183                       3807127.1
           -0.0023350536                      -317861.81
           -0.0023256822                       3471582.8
           -0.0023226367                      -5653226.8
           -0.0023203904                       -10574628
           -0.0023182999                      -7723699.3
           -0.0023109094                      -8943213.6
           -0.0023100479                       2762085.6
           -0.0023099587                       -10430135
           -0.0023088272                       8852172.8
            -0.002307265                         8274628
           -0.0023025748                      -9988588.3
           -0.0023011751                       8655531.3
           -0.0022961994                      -3666957.4
           -0.0022960446                       2422719.9
             -0.00228914                      -969524.55
           -0.0022840637                       8198836.9
            -0.002280614                       -10320220
           -0.0022782408                      -7960674.9
           -0.0022685016                      -9139654.3
           -0.0022680477                      -6269846.6
            -0.002264525                       -10187933
           -0.0022635191                        -1283591
           -0.0022605827                        -3971877
           -0.0022589066                         1746534
           -0.0022409902                       9043443.7
            -0.002239402                         1408719
           -0.0022363913                       7095687.4
           -0.0022345773                      -6542685.2
           -0.0022182082                       5031722.8
           -0.0022163245                       6038295.6
           -0.0022157053                       6330358.2
           -0.0022105965                         5435489
           -0.0022097275                      -1858568.2
           -0.0022027493                      -8460256.3
           -0.0022021851                      -4604450.2
           -0.0021992294                       -10726834
           -0.0021965058                       7022658.4
           -0.0021959494                       771352.29
           -0.0021950975                       -10431457
           -0.0021908234                       7757048.9
           -0.0021846173                      -2183248.9
           -0.0021836231                      -9567426.2
           -0.0021780026                         8612011
           -0.0021769413                       8858882.9
           -0.0021747226                       446032.25
           -0.0021722445                      -4928731.7
           -0.0021687713                      -8695048.9
           -0.0021666352                       -10743338
           -0.0021658804                        -7093228
           -0.0021656297                       8103106.7
           -0.0021648969                       4549539.9
           -0.0021518592                       4234611.4
            -0.002148835                       9209365.7
           -0.0021482589                       -10906782
           -0.0021370421                      -7386965.8
           -0.0021355864                       -10483756
            -0.002133519                      -9740805.6
           -0.0021312572                      -2819659.7
           -0.0021299036                         3570198
           -0.0021283645                       3172247.6
           -0.0021147668                      -84187.048
           -0.0021140341                      -5548513.6
           -0.0021118275                       -10606830
           -0.0021077631                        -3162612
           -0.0021023809                       9187517.6
           -0.0020967702                       -10798052
           -0.0020956158                       -441260.6
           -0.0020898231                       2524286.6
           -0.0020818833                      -5854772.4
           -0.0020792214                       -10617607
           -0.0020786118                      -7943758.7
           -0.0020722839                       -10148005
           -0.0020696262                      -9126720.3
           -0.0020692796                       2191859.7
           -0.0020618784                       7465941.9
            -0.002060389                       8753724.7
           -0.0020507178                      -3819791.9
           -0.0020470365                      -1087141.8
           -0.0020432182                      -8198143.2
           -0.0020393971                       -10619955
           -0.0020378705                       6716500.5
           -0.0020375867                       6135836.1
            -0.002030461                       1535039.6
           -0.0020290082                      -9345964.4
           -0.0020283852                       -10364932
           -0.0020269969                       5838608.7
           -0.0020239197                      -4134979.1
            -0.002022317                       7095517.9
           -0.0020219201                        -1406399
           -0.0020205854                         7874334
           -0.0020188066                        -6447005
           -0.0020130718                       9370809.2
            -0.002005825                       1213686.5
           -0.0019886048                       8453759.6
           -0.0019869101                         5313394
           -0.0019850452                      -6732333.6
           -0.0019845491                       -10963562
           -0.0019783856                       4976922.8
            -0.001976278                      -2079895.2
           -0.0019740742                      -8679686.4
           -0.0019580416                       9339893.6
           -0.0019579321                      -4787146.4
           -0.0019564852                       4324963.3
            -0.001956337                       3926534.2
           -0.0019521308                      -9766032.6
           -0.0019479239                      -2384918.8
           -0.0019474595                       674552.78
           -0.0019469916                       -10900734
            -0.001935531                      -8916979.1
           -0.0019304273                      -5122692.7
           -0.0019256735                       8829683.7
           -0.0019236984                       354110.61
           -0.0019202992                       -10764047
           -0.0019201517                       3275501.8
           -0.0019200826                      -7282616.4
           -0.0019172502                       -11025343
           -0.0019170171                       9153381.5
           -0.0019151446                      -9943685.9
           -0.0019006668                         9306949
           -0.0018971225                       -10621346
           -0.0018957466                       2964660.6
           -0.0018890326                      -7586890.1
           -0.0018879851                      -3031208.3
           -0.0018788269                       -10957184
           -0.0018776859                      -284128.68
           -0.0018737482                       -10764903
           -0.0018647846                      -5738839.7
           -0.0018612677                      -3371831.9
           -0.0018570226                       6819984.7
           -0.0018558837                       2330239.9
           -0.0018543639                      -628817.06
           -0.0018524317                       9662694.7
           -0.0018499982                       6532840.3
           -0.0018470768                         5876025
           -0.0018456031                       8238488.8
           -0.0018432308                       -10375142
           -0.0018413873                       -10763092
           -0.0018413126                       7485035.4
           -0.0018380138                       7792544.9
           -0.0018367548                      -8147798.5
           -0.0018351706                       2011616.9
           -0.0018340563                      -9333460.8
           -0.0018327951                      -6045478.7
           -0.0018308677                       8496152.7
           -0.0018068291                      -1281401.8
           -0.0018056508                      -4002309.4
           -0.0018006074                      -8383908.1
           -0.0018003391                       5731717.2
           -0.0017972276                       9132390.6
           -0.0017958305                      -9541313.3
           -0.0017820018                      -1609580.7
            -0.001777188                      -4323790.3
           -0.0017749456                       5118288.7
           -0.0017748438                         1472298
           -0.0017737671                       -10821552
           -0.0017721522                       9543896.9
           -0.0017669533                      -6630770.2
           -0.0017657428                       4770232.3
           -0.0017580991                       9112138.5
           -0.0017538775                       1149793.4
            -0.001752803                       9792087.8
           -0.0017502141                       4053007.9
             -0.00174866                       -10458794
           -0.0017439413                       -11066515
           -0.0017353137                      -6897225.5
           -0.0017342484                       -11086451
           -0.0017337482                      -8871956.1
           -0.0017223798                       3740864.9
           -0.0017219412                      -2253038.5
           -0.0017205047                      -9935814.9
           -0.0017183119                      -4989820.1
           -0.0017072995                       501974.98
           -0.0017023589                       8218997.5
           -0.0016984913                       9853961.9
           -0.0016976766                      -9116869.4
            -0.001695851                       -10178551
           -0.0016933014                      -5300273.5
           -0.0016932415                      -2576434.5
           -0.0016826323                       -10943883
           -0.0016825099                       174790.39
             -0.00168248                       3115308.4
            -0.001677999                       7503275.1
            -0.001676356                       -11133068
           -0.0016760706                       7211075.2
           -0.0016723637                       -10807908
           -0.0016711795                       6251782.1
           -0.0016650917                        -7451001
           -0.0016648393                       6629820.5
           -0.0016638854                       8151060.5
           -0.0016625019                       2801318.1
           -0.0016586444                       9401741.8
           -0.0016571329                       8830864.5
           -0.0016513528                       9648634.5
           -0.0016495503                       -11074757
           -0.0016430819                      -3236178.9
            -0.001641794                       9081117.7
           -0.0016332616                      -480919.78
           -0.0016326665                      -7727585.3
           -0.0016231138                       -10951019
           -0.0016167856                      -5937278.4
           -0.0016166576                      -3569605.4
           -0.0016153352                       -10948347
           -0.0016131643                       -10549342
           -0.0016117713                      -820182.85
           -0.0016046869                         5829201
           -0.0016020289                       9984495.6
           -0.0016016633                      -9507568.3
           -0.0015940544                       2262787.5
           -0.0015899044                        -8320851
           -0.0015880769                       5536943.6
           -0.0015850479                      -6247025.1
           -0.0015772995                       1934768.2
           -0.0015723586                       4842776.4
           -0.0015612582                      -4211648.8
           -0.0015587608                       9826281.4
           -0.0015563099                        -9697152
           -0.0015550065                      -8566215.3
            -0.001554875                      -1464650.3
           -0.0015485908                       4519131.9
           -0.0015439162                        10029674
           -0.0015362342                       1297767.7
           -0.0015308937                       8552618.1
           -0.0015287854                      -1803331.6
           -0.0015279356                       -11102020
           -0.0015272525                      -4526251.3
           -0.0015207936                      -6821336.1
           -0.0015176271                       -10619557
           -0.0015173101                       -11221897
            -0.001512476                       971458.68
           -0.0015079017                       8866441.5
           -0.0015069778                       3890931.3
           -0.0015000467                       -11171643
            -0.001497357                       7874137.5
           -0.0014904379                       -10103003
           -0.0014879334                       3568946.7
           -0.0014860741                        -7094869
           -0.0014858386                      -9039388.6
           -0.0014840233                       8234415.5
           -0.0014826438                       7328579.4
           -0.0014762881                      -2457290.4
           -0.0014740579                      -5186026.4
           -0.0014712271                       7057260.4
           -0.0014620432                       311900.96
           -0.0014603139                       -10341964
           -0.0014595525                        10138885
            -0.001459238                       -11012354
           -0.0014574704                       9479026.4
           -0.0014506853                       9752176.9
           -0.0014492129                      -5508639.5
           -0.0014478462                      -2778765.7
           -0.0014433231                       9979057.6
           -0.0014432765                       -11187267
           -0.0014375101                      -12462.712
           -0.0014321386                       -10960394
           -0.0014204039                       6567467.4
