#Parameters = {Rmesh=1; F=300000000; I=1; L_bunch=3.3333333333333; L_cutoff=3.3333333333333; L_offset=1.6666666666667; Ltar=10; Q=3.3333333333333e-009; Rcath=0.5; Rtar=10; RxRz=0.01; T=3.3333333333333e-009; Wo=30000; sigma=33.333333333333}
#"Z / cm"	"e-field (t=0..end(0.1)) (pic)_Z (Z)"
#----------------------------------------------
-1.9920318725100	122584.06250000
-1.9820717131474	121259.84375000
-1.9721115537849	119935.61718750
-1.9621513944223	118611.39062500
-1.9521912350598	117287.16406250
-1.9422310756972	115962.94531250
-1.9322709163347	114638.71875000
-1.9223107569721	113314.49218750
-1.9123505976096	111990.28125000
-1.9023904382470	110666.06250000
-1.8924302788845	109341.83593750
-1.8824701195219	108017.60937500
-1.8725099601594	106693.38281250
-1.8625498007968	105369.16406250
-1.8525896414343	104044.93750000
-1.8426294820717	102720.71093750
-1.8326693227092	101396.50000000
-1.8227091633466	100072.28125000
-1.8127490039841	99043.015625000
-1.8027888446215	101457.40625000
-1.7928286852590	103871.79687500
-1.7828685258964	106286.18750000
-1.7729083665339	108700.57812500
-1.7629482071713	111114.96875000
-1.7529880478088	113529.32812500
-1.7430278884462	115943.71875000
-1.7330677290837	118358.10937500
-1.7231075697211	120772.50000000
-1.7131474103586	123186.89062500
-1.7031872509960	125601.28125000
-1.6932270916335	128015.67187500
-1.6832669322709	130430.06250000
-1.6733067729084	132844.42187500
-1.6633466135458	135258.81250000
-1.6533864541833	137673.20312500
-1.6434262948207	140087.59375000
-1.6334661354582	142501.98437500
-1.6235059760956	144916.37500000
-1.6135458167331	149193.60937500
-1.6035856573705	154987.76562500
-1.5936254980080	160781.84375000
-1.5836653386454	166576.00000000
-1.5737051792829	172370.14062500
-1.5637450199203	178164.29687500
-1.5537848605578	183958.45312500
-1.5438247011952	189752.59375000
-1.5338645418327	195546.75000000
-1.5239043824701	201340.90625000
-1.5139442231076	207135.00000000
-1.5039840637450	212929.14062500
-1.4940239043825	218723.29687500
-1.4840637450199	224517.43750000
-1.4741035856574	230311.59375000
-1.4641434262948	236105.75000000
-1.4541832669323	241899.90625000
-1.4442231075697	247693.98437500
-1.4342629482072	253488.12500000
-1.4243027888446	261632.09375000
-1.4143426294821	272150.96875000
-1.4043824701195	282669.84375000
-1.3944223107570	293188.71875000
-1.3844621513944	303707.59375000
-1.3745019920319	314226.46875000
-1.3645418326693	324745.21875000
-1.3545816733068	335264.06250000
-1.3446215139442	345782.96875000
-1.3346613545817	356301.81250000
-1.3247011952191	366820.68750000
-1.3147410358566	377339.56250000
-1.3047808764940	387858.43750000
-1.2948207171315	398377.31250000
-1.2848605577689	410014.93750000
-1.2749003984064	423146.03125000
-1.2649402390438	436277.12500000
-1.2549800796813	449408.18750000
-1.2450199203187	462539.28125000
-1.2350597609562	475670.37500000
-1.2250996015936	488801.46875000
-1.2151394422311	501932.56250000
-1.2051792828685	515063.50000000
-1.1952191235060	528194.56250000
-1.1852589641434	546693.62500000
-1.1752988047809	565642.62500000
-1.1653386454183	584591.56250000
-1.1553784860558	603540.56250000
-1.1454183266932	622489.50000000
-1.1354581673307	641438.43750000
-1.1254980079681	652282.43750000
-1.1155378486056	655890.81250000
-1.1055776892430	659499.12500000
-1.0956175298805	663107.43750000
-1.0856573705179	664376.18750000
-1.0756972111554	658205.93750000
-1.0657370517928	652035.68750000
-1.0557768924303	672548.56250000
-1.0458167330677	731687.87500000
-1.0358565737052	795808.50000000
-1.0258964143426	867225.25000000
-1.0159362549801	902997.00000000
-1.0059760956175	885931.75000000
-0.99601593625498	847541.06250000
-0.98605577689243	777161.43750000
-0.97609561752988	749786.31250000
-0.96613545816733	788777.50000000
-0.95617529880478	850020.37500000
-0.94621513944223	946599.12500000
-0.93625498007968	1018378.7500000
-0.92629482071713	1049628.0000000
-0.91633466135458	1080877.1250000
-0.90637450199203	1103102.8750000
-0.89641434262948	1117362.2500000
-0.88645418326693	1131621.6250000
-0.87649402390438	1145880.8750000
-0.86653386454183	1159845.6250000
-0.85657370517928	1172662.2500000
-0.84661354581673	1185479.0000000
-0.83665338645418	1198295.6250000
-0.82669322709163	1211112.2500000
-0.81673306772908	1223929.0000000
-0.80677290836653	1236745.6250000
-0.79681274900398	1243747.7500000
-0.78685258964143	1248529.0000000
-0.77689243027888	1253310.2500000
-0.76693227091633	1258091.5000000
-0.75697211155378	1262872.7500000
-0.74701195219124	1267654.0000000
-0.73705179282869	1272435.2500000
-0.72709163346614	1277216.5000000
-0.71713147410359	1281997.7500000
-0.70717131474104	1286546.6250000
-0.69721115537849	1281169.3750000
-0.68725099601594	1275792.0000000
-0.67729083665339	1270414.7500000
-0.66733067729084	1265037.5000000
-0.65737051792829	1259660.1250000
-0.64741035856574	1254282.8750000
