#Parameters = {Rmesh=1; F=300000000; I=1; L_bunch=3.3333333333333; L_cutoff=3.3333333333333; L_offset=1.6666666666667; Ltar=10; Q=3.3333333333333e-009; Rcath=0.5; Rtar=10; RxRz=0.01; T=3.3333333333333e-009; Wo=30000; sigma=33.333333333333}
#"Y / cm"	"e-field (t=0..end(0.1)) (pic)_Y (Y)"
#----------------------------------------------
0.29353233830846	-1417239.7500000
0.30348258706468	-1360750.1250000
0.31343283582090	-1309139.3750000
0.32338308457711	-1259446.7500000
0.33333333333333	-1213477.3750000
0.34328358208955	-1169040.3750000
0.35323383084577	-1127714.1250000
0.36318407960199	-1087594.3750000
0.37313432835821	-1050038.5000000
0.38308457711443	-1013616.5625000
0.39303482587065	-979718.56250000
0.40298507462687	-946698.68750000
0.41293532338308	-915727.68750000
0.42288557213930	-885598.56250000
0.43283582089552	-857530.56250000
0.44278606965174	-830493.06250000
0.45273631840796	-806105.25000000
0.46268656716418	-782506.68750000
0.47263681592040	-761041.93750000
0.48258706467662	-739855.62500000
0.49253731343284	-719461.87500000
0.50248756218905	-699171.25000000
0.51243781094527	-679189.50000000
0.52238805970149	-659522.31250000
0.53233830845771	-640851.00000000
0.54228855721393	-622582.75000000
0.55223880597015	-605663.56250000
0.56218905472637	-589403.06250000
0.57213930348259	-575477.43750000
0.58208955223881	-562084.75000000
0.59203980099502	-550696.50000000
0.60199004975124	-539407.43750000
0.61194029850746	-528515.12500000
0.62189054726368	-517515.68750000
0.63184079601990	-506059.43750000
0.64179104477612	-494586.06250000
0.65174129353234	-483034.46875000
0.66169154228856	-471575.06250000
0.67164179104478	-460566.18750000
0.68159203980099	-449615.50000000
0.69154228855721	-438970.87500000
0.70149253731343	-428516.68750000
0.71144278606965	-419141.96875000
0.72139303482587	-409919.03125000
0.73134328358209	-401628.87500000
0.74129353233831	-393430.78125000
0.75124378109453	-385849.37500000
0.76119402985075	-378232.75000000
0.77114427860697	-370358.09375000
0.78109452736318	-362465.93750000
0.79104477611940	-354432.59375000
0.80099502487562	-346490.62500000
0.81094527363184	-339371.25000000
0.82089552238806	-332240.50000000
0.83084577114428	-324994.53125000
0.84079601990050	-317837.31250000
