#Parameters = {kz=-1; eps0=8.854e-012; rho=0.058284280917442; V=5.719094892935e-008; Q=3.3333333333333e-009; Lx=10; Ly=10; Lz=50; Rx=1.6; Ry=0.53333333333333; Rz=16; iy=0.1}
#"Z / mm"	"E-Field (Es)_Z (Z)_1"
#-------------------------------
-4.0800000000000	-177082.03125000
-4.0533333333333	-175928.59375000
-4.0266666666667	-174775.14062500
-4.0000000000000	-173621.70312500
-3.9733333333333	-172478.18750000
-3.9466666666667	-171334.68750000
-3.9200000000000	-170191.18750000
-3.8933333333333	-169047.68750000
-3.8666666666667	-167904.17187500
-3.8400000000000	-166760.65625000
-3.8133333333333	-165617.15625000
-3.7866666666667	-164473.64062500
-3.7600000000000	-163330.14062500
-3.7333333333333	-162181.56250000
-3.7066666666667	-161029.96875000
-3.6800000000000	-159878.35937500
-3.6533333333333	-158726.75000000
-3.6266666666667	-157575.15625000
-3.6000000000000	-156423.53125000
-3.5733333333333	-155271.92187500
-3.5466666666667	-154120.32812500
-3.5200000000000	-152968.71875000
-3.4933333333333	-151808.76562500
-3.4666666666667	-150623.81250000
-3.4400000000000	-149438.85937500
-3.4133333333333	-148253.89062500
-3.3866666666667	-147068.93750000
-3.3600000000000	-145883.98437500
-3.3333333333333	-144699.01562500
-3.3066666666667	-143514.06250000
-3.2800000000000	-142329.10937500
-3.2533333333333	-141144.14062500
-3.2266666666667	-139935.81250000
-3.2000000000000	-138724.14062500
-3.1733333333333	-137512.46875000
-3.1466666666667	-136300.79687500
-3.1200000000000	-135089.10937500
-3.0933333333333	-133877.43750000
-3.0666666666667	-132665.78125000
-3.0400000000000	-131454.09375000
-3.0133333333333	-130242.42187500
-2.9866666666667	-129042.11718750
-2.9600000000000	-127853.16406250
-2.9333333333333	-126664.20312500
-2.9066666666667	-125475.25000000
-2.8800000000000	-124286.30468750
-2.8533333333333	-123097.33593750
-2.8266666666667	-121908.38281250
-2.8000000000000	-120719.42968750
-2.7733333333333	-119530.46875000
-2.7466666666667	-118346.58593750
-2.7200000000000	-117198.14062500
-2.6933333333333	-116049.69531250
-2.6666666666667	-114901.25000000
-2.6400000000000	-113752.81250000
-2.6133333333333	-112604.35937500
-2.5866666666667	-111455.90625000
-2.5600000000000	-110307.46875000
-2.5333333333333	-109159.02343750
-2.5066666666667	-108010.57812500
-2.4800000000000	-106878.89062500
-2.4533333333333	-105752.78906250
-2.4266666666667	-104626.68750000
-2.4000000000000	-103500.58593750
-2.3733333333333	-102374.47656250
-2.3466666666667	-101248.36718750
-2.3200000000000	-100122.27343750
-2.2933333333333	-98996.171875000
-2.2666666666667	-97870.070312500
-2.2400000000000	-96743.734375000
-2.2133333333333	-95617.007812500
-2.1866666666667	-94490.273437500
-2.1600000000000	-93363.546875000
-2.1333333333333	-92236.812500000
-2.1066666666667	-91110.070312500
-2.0800000000000	-89983.343750000
-2.0533333333333	-88856.609375000
-2.0266666666667	-87729.875000000
-2.0000000000000	-86603.148437500
-1.9733333333333	-85443.062500000
-1.9466666666667	-84282.992187500
-1.9200000000000	-83122.906250000
-1.8933333333333	-81962.820312500
-1.8666666666667	-80802.750000000
-1.8400000000000	-79642.671875000
