
   Column:             1              2              3              4              5              6              7              8              9             10
     Ry/Rx:    1.00000000e-02,1.00000000e-01,8.00000000e-02,4.00000000e-01,6.00000000e-01,8.00000000e-01,1.00000000e+00,2.00000000e+00,5.00000000e+00,1.00000000e+01

     Rx/Rz         Mz(:,1)        Mz(:,2)        Mz(:,3)       Mz(:,4)        Mz(:,5)        Mz(:,6)          z(:,7)       Mz(:,8)        Mz(:,9)         Mz(:,10)

1.00000000e-02 9.96372729e-06 9.79301507e-05 7.86376852e-05 3.72431867e-04 5.42631978e-04 7.04678175e-04  8.59797440e-04 1.55773505e-03 3.20568317e-03  5.22321319e-03
1.00000000e-01 5.39352548e-04 5.22321319e-03 4.20781246e-03 1.89852853e-02 2.69140200e-02 3.40661669e-02  4.05717606e-02 6.61904584e-02 1.08709726e-01  1.39195723e-01
5.00000000e-01 6.25344279e-03 5.83851302e-02 4.74086207e-02 1.90840485e-01 2.54771595e-01 3.05726028e-01  3.47127995e-01 4.72799717e-01 5.91870285e-01  6.36606296e-01
1.00000000e+00 1.55102931e-02 1.39195723e-01 1.13969730e-01 4.11846482e-01 5.24174084e-01 6.05559662e-01  6.66666667e-01 8.26436002e-01 9.44179030e-01  9.79714120e-01
1.49253731e+00 2.51036250e-02 2.17127418e-01 1.79117446e-01 5.92577445e-01 7.29471020e-01 8.22491763e-01  8.88979174e-01 1.04912537e+00 1.15353706e+00  1.18221967e+00
2.00000000e+00 3.50526287e-02 2.92336359e-01 2.42897843e-01 7.43505417e-01 8.91957215e-01 9.88073074e-01  1.05440057e+00 1.20573815e+00 1.29720325e+00  1.32099927e+00
2.50000000e+00 4.48037881e-02 3.61013271e-01 3.01942434e-01 8.64853692e-01 1.01719796e+00 1.11231415e+00  1.17630704e+00 1.31700234e+00 1.39790623e+00  1.41824691e+00
3.03030303e+00 5.50490246e-02 4.28290627e-01 3.60550326e-01 9.70950622e-01 1.12300618e+00 1.21511067e+00  1.27582069e+00 1.40551070e+00 1.47733983e+00  1.49495288e+00
3.57142857e+00 6.53866798e-02 4.91573035e-01 4.16390016e-01 1.06088276e+00 1.21013114e+00 1.29832749e+00  1.35552160e+00 1.47501743e+00 1.53935327e+00  1.55484065e+00
4.00000000e+00 7.34882529e-02 5.38215838e-01 4.57999656e-01 1.12181376e+00 1.26787587e+00 1.35279305e+00  1.40728297e+00 1.51954008e+00 1.57892210e+00  1.59305627e+00
4.54545455e+00 8.36903452e-02 5.93576703e-01 5.07896017e-01 1.18890277e+00 1.33029476e+00 1.41106464e+00  1.46231678e+00 1.56636837e+00 1.62041964e+00  1.63313797e+00
5.00000000e+00 9.21005055e-02 6.36606296e-01 5.47067420e-01 1.23750583e+00 1.37477309e+00 1.45221274e+00  1.50096782e+00 1.59895391e+00 1.64922693e+00  1.66096470e+00
