#Parameters = {kz=1; eps0=8.854e-012; rho=1.9428093639147; V=1.7157284678805e-009; Q=3.3333333333333e-009; Lx=10; Ly=10; Lz=50; Rx=1.6; Ry=1.6; Rz=0.16; iy=10}
#"Z / mm"	"E-Field (Es)_Z (Z)"
#-----------------------------
-48.408000000000	-59.374332427979
-48.400000000000	-59.411144256592
-48.392000000000	-59.447978973389
-48.384000000000	-59.484790802002
-48.376000000000	-59.521606445313
-48.368000000000	-59.558422088623
-48.360000000000	-59.595233917236
-48.352000000000	-59.632049560547
-48.344000000000	-59.668865203857
-48.336000000000	-59.705696105957
-48.328000000000	-59.742511749268
-48.320000000000	-59.779323577881
-48.312000000000	-59.816139221191
-48.304000000000	-59.852954864502
-48.296000000000	-59.889766693115
-48.288000000000	-59.926601409912
-48.280000000000	-59.963413238525
-48.272000000000	-60.000228881836
-48.264000000000	-60.037044525146
-48.256000000000	-60.073856353760
-48.248000000000	-60.112705230713
-48.240000000000	-60.155471801758
-48.232000000000	-60.198257446289
-48.224000000000	-60.241024017334
-48.216000000000	-60.283790588379
-48.208000000000	-60.326553344727
-48.200000000000	-60.369319915771
-48.192000000000	-60.412086486816
-48.184000000000	-60.454872131348
-48.176000000000	-60.497638702393
-48.168000000000	-60.540405273438
-48.160000000000	-60.583171844482
-48.152000000000	-60.625938415527
-48.144000000000	-60.668704986572
-48.136000000000	-60.711467742920
-48.128000000000	-60.754257202148
-48.120000000000	-60.797019958496
-48.112000000000	-60.839786529541
-48.104000000000	-60.882553100586
-48.096000000000	-60.925319671631
-48.088000000000	-60.968086242676
-48.080000000000	-61.010852813721
-48.072000000000	-61.053638458252
-48.064000000000	-61.096405029297
-48.056000000000	-61.139171600342
-48.048000000000	-61.181934356689
-48.040000000000	-61.224700927734
-48.032000000000	-61.267467498779
-48.024000000000	-61.310253143311
-48.016000000000	-61.353019714355
-48.008000000000	-61.395786285400
-48.000000000000	-61.439186096191
-47.992000000000	-61.488033294678
-47.984000000000	-61.536880493164
-47.976000000000	-61.585727691650
-47.968000000000	-61.634593963623
-47.960000000000	-61.683441162109
-47.952000000000	-61.732288360596
-47.944000000000	-61.781135559082
-47.936000000000	-61.829978942871
-47.928000000000	-61.878826141357
-47.920000000000	-61.927696228027
-47.912000000000	-61.976543426514
-47.904000000000	-62.025390625000
-47.896000000000	-62.074234008789
-47.888000000000	-62.123081207275
-47.880000000000	-62.171928405762
-47.872000000000	-62.220775604248
-47.864000000000	-62.269645690918
-47.856000000000	-62.318489074707
-47.848000000000	-62.367336273193
-47.840000000000	-62.416183471680
-47.832000000000	-62.465030670166
-47.824000000000	-62.513874053955
-47.816000000000	-62.562721252441
-47.808000000000	-62.611591339111
-47.800000000000	-62.660438537598
-47.792000000000	-62.709285736084
-47.784000000000	-62.758129119873
-47.776000000000	-62.806976318359
-47.768000000000	-62.855823516846
-47.760000000000	-62.904693603516
-47.752000000000	-62.953536987305
-47.744000000000	-63.007785797119
-47.736000000000	-63.062862396240
-47.728000000000	-63.117935180664
-47.720000000000	-63.173007965088
-47.712000000000	-63.228080749512
-47.704000000000	-63.283180236816
-47.696000000000	-63.338256835938
-47.688000000000	-63.393329620361
-47.680000000000	-63.448402404785
-47.672000000000	-63.503475189209
-47.664000000000	-63.558551788330
-47.656000000000	-63.613651275635
-47.648000000000	-63.668724060059
-47.640000000000	-63.723796844482
-47.632000000000	-63.778873443604
-47.624000000000	-63.833946228027
-47.616000000000	-63.889019012451
-47.608000000000	-63.944091796875
-47.600000000000	-63.999191284180
-47.592000000000	-64.054267883301
-47.584000000000	-64.109336853027
-47.576000000000	-64.164413452148
-47.568000000000	-64.219490051270
-47.560000000000	-64.274559020996
-47.552000000000	-64.329658508301
-47.544000000000	-64.384735107422
-47.536000000000	-64.439811706543
-47.528000000000	-64.494880676270
-47.520000000000	-64.549957275391
-47.512000000000	-64.605033874512
-47.504000000000	-64.660102844238
-47.496000000000	-64.719238281250
-47.488000000000	-64.780708312988
-47.480000000000	-64.842178344727
-47.472000000000	-64.903640747070
-47.464000000000	-64.965110778809
-47.456000000000	-65.026580810547
-47.448000000000	-65.088050842285
-47.440000000000	-65.149543762207
-47.432000000000	-65.211013793945
-47.424000000000	-65.272483825684
-47.416000000000	-65.333946228027
-47.408000000000	-65.395416259766
-47.400000000000	-65.456886291504
-47.392000000000	-65.518379211426
-47.384000000000	-65.579849243164
-47.376000000000	-65.641319274902
-47.368000000000	-65.702789306641
-47.360000000000	-65.764251708984
-47.352000000000	-65.825721740723
-47.344000000000	-65.887191772461
-47.336000000000	-65.948692321777
-47.328000000000	-66.010154724121
-47.320000000000	-66.071624755859
-47.312000000000	-66.133094787598
-47.304000000000	-66.194564819336
-47.296000000000	-66.256027221680
-47.288000000000	-66.317527770996
-47.280000000000	-66.378997802734
-47.272000000000	-66.440460205078
-47.264000000000	-66.501930236816
-47.256000000000	-66.563400268555
-47.248000000000	-66.627456665039
-47.240000000000	-66.695503234863
-47.232000000000	-66.763587951660
-47.224000000000	-66.831634521484
