#Parameters = {kz=1; eps0=8.854e-012; rho=1.9428093639147; V=1.7157284678805e-009; Q=3.3333333333333e-009; Lx=10; Ly=10; Lz=50; Rx=1.6; Ry=1.6; Rz=0.16; iy=10}
#"Y / mm"	"E-Field (Es)_Y (Y)"
#-----------------------------
-8.7600000000000	-530031.93750000
-8.7520000000000	-530467.37500000
-8.7440000000000	-530902.81250000
-8.7360000000000	-531338.31250000
-8.7280000000000	-531773.75000000
-8.7200000000000	-532209.18750000
-8.7120000000000	-532644.68750000
-8.7040000000000	-533080.06250000
-8.6960000000000	-533515.56250000
-8.6880000000000	-533951.06250000
-8.6800000000000	-534386.43750000
-8.6720000000000	-534821.93750000
-8.6640000000000	-535257.37500000
-8.6560000000000	-535692.81250000
-8.6480000000000	-536128.31250000
-8.6400000000000	-536563.75000000
-8.6320000000000	-536999.18750000
-8.6240000000000	-537434.68750000
-8.6160000000000	-537870.06250000
-8.6080000000000	-538305.56250000
-8.6000000000000	-538741.00000000
-8.5920000000000	-539176.43750000
-8.5840000000000	-539611.93750000
-8.5760000000000	-540047.37500000
-8.5680000000000	-540482.81250000
-8.5600000000000	-540918.25000000
-8.5520000000000	-541353.75000000
-8.5440000000000	-541789.18750000
-8.5360000000000	-542224.62500000
-8.5280000000000	-542660.06250000
-8.5200000000000	-543169.50000000
-8.5120000000000	-543697.06250000
-8.5040000000000	-544224.62500000
-8.4960000000000	-544752.12500000
-8.4880000000000	-545279.68750000
-8.4800000000000	-545807.25000000
-8.4720000000000	-546334.75000000
-8.4640000000000	-546862.31250000
-8.4560000000000	-547389.81250000
-8.4480000000000	-547917.37500000
-8.4400000000000	-548444.93750000
-8.4320000000000	-548972.43750000
-8.4240000000000	-549500.00000000
-8.4160000000000	-550027.50000000
-8.4080000000000	-550555.06250000
-8.4000000000000	-551082.62500000
-8.3920000000000	-551610.12500000
-8.3840000000000	-552137.68750000
-8.3760000000000	-552665.18750000
-8.3680000000000	-553192.75000000
-8.3600000000000	-553720.31250000
-8.3520000000000	-554247.81250000
-8.3440000000000	-554775.37500000
-8.3360000000000	-555302.87500000
-8.3280000000000	-555830.43750000
-8.3200000000000	-556358.00000000
-8.3120000000000	-556885.50000000
-8.3040000000000	-557413.06250000
-8.2960000000000	-557940.62500000
-8.2880000000000	-558468.12500000
-8.2800000000000	-559006.06250000
-8.2720000000000	-559632.68750000
-8.2640000000000	-560259.43750000
