x[cm]	x'[mrad]            y[cm]           y'[mrad]		
-0.10346	0.0028756	0.08177	-0.016413
0.00616	0.01718	0.11516	-0.03214
0.01069	0.017533	-0.10448	-0.020716
0.04727	0.036132	0.06564	-0.0058327
0.07229	0.0068034	0.12366	-0.023407
0.04979	0.0052174	-0.04543	0.017161
-0.0155	0.0022579	-0.01293	0.030862
0.02368	-0.011357	0.01938	-0.044407
-0.12168	-0.0028788	0.09057	-0.0049806
-0.0075	0.043938	0.02217	-0.019598
-0.0959	-0.022941	-0.10357	-0.01157
-0.00355	0.0069918	-0.06179	-0.048205
0.09256	0.0033164	-0.06357	0.0083679
-0.08511	0.015716	0.08501	0.0074071
-0.05868	0.031456	0.02897	0.039842
-0.05322	0.015397	0.04494	0.023454
-0.07772	-0.025794	-0.04961	-0.0017954
-0.01825	0.016177	-0.04561	0.048754
0.04416	-0.003848	-0.02748	-0.0054695
-0.1107	-0.011464	-0.06889	0.023934
-0.02974	-0.013185	-0.02471	0.026617
-0.04277	-0.0021413	-0.11579	-0.034223
0.1308	-0.023382	0.06667	0.010794
-0.01928	-0.037098	-0.05713	0.01781
0.08264	-0.0031266	-0.04975	-0.0073248
-0.08685	0.011251	-0.00933	0.013612
-0.06378	-0.040906	-0.04206	0.00053546
-0.03236	-0.016316	0.07185	0.045006
0.00128	0.02205	-0.09743	-0.034249
0.04917	-0.0096576	-0.12571	0.020063
-0.04874	-0.031216	0.04513	-0.0097558
0.07435	0.025859	-0.00916	-0.025332
0.05743	-0.035084	0.00325	-0.019173
0.04179	-0.028543	-0.05612	0.036368
-0.09235	0.039646	-0.0206	-0.0011067
-0.08092	-0.032151	-0.02984	-0.021948
-0.03503	-0.00060714	0.10567	0.014272
0.05018	-0.039728	-0.09087	-0.013996
-0.05637	-0.039547	0.02702	-0.0003458
0.05763	0.0054163	-0.03328	-0.022624
0.1247	0.016859	-0.05844	0.015904
0.0839	-0.002054	-0.05923	-0.021985
-0.0858	0.017595	-0.01027	-0.020651
-0.01836	-0.015823	-0.10996	-0.0032095
-0.07847	-0.0051863	-0.05789	0.013946
0.00923	-0.040268	0.09212	0.0055034
0.06471	0.017067	0.06975	-0.033532
