 Nseed      iq         dt[nsec]           dW[MeV]           x[cm]           x'[mrad]            y[cm]           y'[mrad]  
      0      1       0.27910E-01       0.15449E-07      -0.38481E-01       0.46736E+01      -0.84813E-01      -0.15779E+02
      0      1       0.12267E-01       0.89611E-08       0.13252E-01       0.43683E+01      -0.11501E+00      -0.10263E+02
      0      1       0.33674E-01       0.40090E-08       0.58647E-01       0.36074E+01      -0.84073E-01       0.11730E+02
      0      1       0.13021E-01       0.16601E-07      -0.68911E-02       0.14171E+02      -0.45529E-01       0.29993E+02
      0      1       0.38416E-01      -0.22112E-07       0.46703E-01      -0.17805E+02       0.11370E+00       0.26789E+02
      0      1      -0.66937E-03       0.14214E-07       0.60454E-01       0.14617E+01      -0.92188E-01      -0.40362E+02
      0      1      -0.17224E-01      -0.27922E-08      -0.13831E+00      -0.21291E+02      -0.47960E-01      -0.12630E+02
      0      1      -0.42489E-01      -0.18117E-07      -0.20837E-01       0.13812E+02      -0.90180E-01      -0.33611E+02
      0      1      -0.11921E-01       0.17711E-07       0.74267E-02      -0.18603E+02      -0.67126E-01       0.13528E+02
      0      1      -0.25113E-03      -0.23772E-08      -0.13368E-01       0.10300E+02       0.10381E+00       0.24668E+02
      0      1      -0.12683E-01      -0.24486E-07       0.29503E-01       0.55495E+01       0.56839E-02       0.11952E+02
      0      1       0.92918E-02      -0.18287E-07       0.25891E-01       0.25166E+02       0.11402E+00       0.18198E+02
      0      1       0.17751E-01      -0.20512E-07       0.80932E-01      -0.22793E+02       0.19406E-01      -0.17905E+02
      0      1       0.12028E-01       0.15068E-07      -0.29186E-01      -0.14470E+02      -0.18707E-01       0.38582E+02
      0      1       0.39667E-01      -0.18159E-08       0.70469E-02      -0.31819E+02       0.10696E-02      -0.18102E+02
      0      1       0.16680E-01       0.13505E-07      -0.77239E-01       0.85430E+01       0.21535E-01      -0.22172E+01
      0      1       0.28554E-01       0.21235E-07      -0.14254E+00      -0.45233E+01      -0.16333E-01      -0.16050E+02
      0      1      -0.35861E-01      -0.31795E-08       0.74225E-01       0.20561E+02      -0.56820E-01      -0.92802E+01
      0      1       0.29646E-01      -0.22079E-07       0.95800E-01       0.23560E+02      -0.62445E-01      -0.23420E+02
      0      1       0.10823E-01       0.20072E-07       0.59159E-01      -0.19475E+02       0.25852E-01       0.30277E+02
      0      1      -0.31175E-01       0.37199E-08      -0.68423E-01      -0.15508E+02       0.61812E-01       0.39367E+02
      0      1       0.32378E-01      -0.25871E-07       0.48393E-01      -0.11553E+02       0.11424E+00       0.33318E+02
      0      1       0.32727E-01       0.21356E-07      -0.51263E-03       0.21832E+02      -0.50656E-01       0.18021E+02
      0      1       0.63357E-02      -0.18827E-07       0.74713E-01      -0.26522E+02      -0.26523E-01      -0.76813E+01
      0      1      -0.30165E-01       0.98383E-08      -0.12879E+00       0.19424E+02       0.72967E-01      -0.13862E+02
      0      1       0.14984E-01       0.20182E-07       0.21238E-01       0.35088E+01      -0.50184E-01      -0.47536E+01
      0      1       0.31411E-01       0.13680E-07      -0.99650E-01       0.86836E+00       0.43234E-01       0.23723E+02
      0      1       0.42144E-01       0.55842E-08      -0.91479E-01       0.37217E+02       0.78688E-02       0.94264E+01
